Name,Category,Weight,Cost,Properties,Roll_hi,Roll_lo
Jacinth,Gemstone,--,5000gp,Transparent fiery orange,3,3
Ruby,Gemstone,--,5000gp,Transparent clear red to deep crimson,4,4
Silver ewer,Art Object,--,25gp,,1,1
Carved bone statuette,Art Object,--,25gp,,2,2
Small gold bracelet,Art Object,--,25gp,,3,3
Cloth-of-gold vestments,Art Object,--,25gp,,4,4
Black velvet mask stitched with silver thread,Art Object,--,25gp,,5,5
Copper chalice with silver filingree,Art Object,--,25gp,,6,6
Pair of engraved bone dice,Art Object,--,25gp,,7,7
Small mirror set in a painted wooden frame,Art Object,--,25gp,,8,8
Embroidered silk hankerchief,Art Object,--,25gp,,9,9
Gold locket with a painted portrait inside,Art Object,--,25gp,,10,10
Gold ring set with bloodstones,Art Object,--,250gp,,1,1
Carved ivory statuette,Art Object,--,250gp,,2,2
Large gold bracelet,Art Object,--,250gp,,3,3
Silver necklace with a gemstone pendant,Art Object,--,250gp,,4,4
Bronze crown,Art Object,--,250gp,,5,5
Silk robe with gold embroidery,Art Object,--,250gp,,6,6
Large well-made tapestry,Art Object,--,250gp,,7,7
Brass mug with jade inlay,Art Object,--,250gp,,8,8
box of turquoise animal figurines,Art Object,--,250gp,,9,9
Gold bird cage with electrum filigree,Art Object,--,250gp,,10,10
Silver chalice set with moonstones,Art Object,--,750gp,,1,1
Silver-plated steel longsword with jet set in hilt,Art Object,--,750gp,,2,2
Carved harp of exotic wood with ivory inlay and zircon gem,Art Object,--,750gp,,3,3
Small gold idol,Art Object,--,750gp,,4,4
Gold dragon comb set with red garnets as eyes,Art Object,--,750gp,,5,5
Bottle stopper cork embossed with gold leaf and set with amethysts ,Art Object,--,750gp,,6,6
Ceremonial electrum dagger with a black pearl in the pommel,Art Object,--,750gp,,7,7
Silver and gold brooch,Art Object,--,750gp,,8,8
Obsidian statuette with gold fittings and inlay,Art Object,--,750gp,,9,9
Painted gold war mask,Art Object,--,750gp,,10,10
Fine gold chain set with a fire opal,Art Object,--,2500gp,,1,1
Old masterpiece painting,Art Object,--,2500gp,,2,2
Embroidered silk and velvet mantle set with numerous moonstones,Art Object,--,2500gp,,3,3
Platinum bracelet set with a sapphire,Art Object,--,2500gp,,4,4
Embroidered glove set with jewel chips,Art Object,--,2500gp,,5,5
Jeweled anklet,Art Object,--,2500gp,,6,6
Gold music box,Art Object,--,2500gp,,7,7
Gold circlet set with four aquamarines,Art Object,--,2500gp,,8,8
Eye patch with a mock eye set in blue sapphire and moonstone,Art Object,--,2500gp,,9,9
A necklace string of small pink pearls,Art Object,--,2500gp,,10,10
Jeweled gold crown,Art Object,--,7500gp,,1,1
Jeweled platinum ring,Art Object,--,7500gp,,2,2
Small gold statuette set with rubies,Art Object,--,7500gp,,3,3
Gold cup set with emeralds,Art Object,--,7500gp,,4,4
Gold jewelry box with platinum filigree,Art Object,--,7500gp,,5,5
Painted gold child's sarcophagus,Art Object,--,7500gp,,6,6
Jade game board with solid gold playing pieces,Art Object,--,7500gp,,7,7
Bejeweled ivory drinking horn with gold filigree,Art Object,--,7500gp,,8,8
